0,ich 
1,sie 
2,das 
3,ist 
4,du 
5,nicht 
6,die 
7,es 
8,und 
9,der 
10,wir 
11,was 
12,zu 
13,er 
14,ein 
15,in 
16,ja 
17,mir 
18,mit 
19,wie 
20,den 
21,mich 
22,auf 
23,dass 
24,aber 
25,eine 
26,so 
27,hat 
28,hier 
29,haben 
30,fr 
31,sind 
32,war 
33,von 
34,wenn 
35,dich 
36,ihr 
37,nein 
38,habe 
39,an 
40,bin 
41,noch 
42,nur 
43,da 
44,dir 
45,sich 
46,einen 
47,uns 
48,hast 
49,dem 
50,kann 
51,gut 
52,auch 
53,schon 
54,als 
55,sein 
56,mal 
57,jetzt 
58,ihn 
59,dann 
60,aus 
61,meine 
62,um 
63,im 
64,wird 
65,mein 
66,bist 
67,doch 
68,alles 
69,wei 
70,keine 
71,oder 
72,nach 
73,s 
74,nichts 
75,man 
76,muss 
77,werden 
78,will 
79,ihnen 
80,geht 
81,wo 
82,etwas 
83,oh 
84,mehr 
85,bei 
86,also 
87,bitte 
88,immer 
89,hab 
90,warum 
91,vor 
92,los 
93,knnen 
94,wieder 
95,sagen 
96,machen 
97,danke 
98,sehr 
99,alle 
100,denn 
101,mann 
102,tun 
103,ihm 
104,zum 
105,gehen 
106,sehen 
107,vielleicht 
108,einem 
109,wer 
110,ihre 
111,diese 
112,euch 
113,einer 
114,komm 
115,ber 
116,gibt 
117,okay 
118,wissen 
119,deine 
120,mssen 
121,soll 
122,werde 
123,nie 
124,wirklich 
125,hey 
126,kein 
127,viel 
128,weg 
129,wrde 
130,tut 
131,am 
132,des 
133,einfach 
134,leben 
135,hatte 
136,zeit 
137,weil 
138,willst 
139,kommen 
140,dein 
141,heute 
142,kommt 
143,wollen 
144,damit 
145,ganz 
146,wre 
147,wollte 
148,weit 
149,ok 
150,sicher 
151,gesagt 
152,frau 
153,nun 
154,bis 
155,wurde 
156,leid 
157,na 
158,kannst 
159,macht 
160,dieser 
161,zurck 
162,lassen 
163,hallo 
164,meinen 
165,gott 
166,seine 
167,htte 
168,zwei 
169,knnte 
170,genau 
171,waren 
172,zur 
173,lass 
174,klar 
175,morgen 
176,leute 
177,vater 
178,schn 
179,glaube 
180,mr 
181,ab 
182,gerade 
183,tag 
184,gesehen 
185,reden 
186,wohl 
187,liebe 
188,sollte 
189,sagte 
190,unsere 
191,jemand 
192,geld 
193,durch 
194,ob 
195,keinen 
196,mutter 
197,raus 
198,gemacht 
199,paar 
200,mach 
201,passiert 
202,dachte 
203,besser 
204,musst 
205,wieso 
206,sir 
207,dieses 
208,selbst 
209,gehrt 
210,mchte 
211,ohne 
212,hr 
213,her 
214,sag 
215,meiner 
216,anderen 
217,helfen 
218,nacht 
219,finden 
220,diesen 
221,gute 
222,wirst 
223,lange 
224,natrlich 
225,ach 
226,meinem 
227,gar 
228,ins 
229,sei 
230,dort 
231,weiter 
232,geben 
233,seit 
234,gleich 
235,sagt 
236,recht 
237,ihren 
238,richtig 
239,ordnung 
240,vom 
241,hren 
242,sieht 
243,davon 
244,dafr 
245,geh 
246,diesem 
247,wegen 
248,hause 
249,sollten 
250,mdchen 
251,hin 
252,sollen 
253,abend 
254,haus 
255,denke 
256,viele 
257,drei 
258,deinen 
259,freund 
260,guten 
261,unser 
262,warte 
263,machst 
264,menschen 
265,essen 
266,angst 
267,bleiben 
268,zusammen 
